year,state,producer type,energy source,CO2 (MT),SO2 (MT),NOx (MT),consumption,generation (mwh)
2013,WI,Total Electric Power Industry,Wind,,,,,1557924.0
2013,WV,Total Electric Power Industry,Hydroelectric Conventional,,,,,1738776.0
2013,WV,Total Electric Power Industry,Other,,,,,0.0
2013,WV,Total Electric Power Industry,Wind,,,,,1386516.0
2013,WY,Total Electric Power Industry,Hydroelectric Conventional,,,,,710878.17
2013,WY,Total Electric Power Industry,Wind,,,,,4433284.0
2014,AK,Total Electric Power Industry,Hydroelectric Conventional,,,,,1538738.0
2014,AK,Total Electric Power Industry,Other,,,,,-2313.0
2014,AK,Total Electric Power Industry,Wind,,,,,151957.0
2014,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,,,,,0.0
2014,AL,Total Electric Power Industry,Hydroelectric Conventional,,,,,9466872.0
2014,AL,Total Electric Power Industry,Nuclear,,,,,41243689.0
2014,AR,Total Electric Power Industry,Pumped Storage,,,,,67070.0
2014,AR,Total Electric Power Industry,Hydroelectric Conventional,,,,,2639776.0
2014,AR,Total Electric Power Industry,Nuclear,,,,,14478259.0
2014,AZ,Total Electric Power Industry,Pumped Storage,,,,,13892.0
2014,AZ,Total Electric Power Industry,Hydroelectric Conventional,,,,,6118261.0
2014,AZ,Total Electric Power Industry,Nuclear,,,,,32320917.0
2014,AZ,Total Electric Power Industry,Other,,,,,0.0
2014,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,3141507.86
2014,AZ,Total Electric Power Industry,Wind,,,,,468115.0
2014,CA,Total Electric Power Industry,Pumped Storage,,,,,-104740.0
2014,CA,Total Electric Power Industry,Hydroelectric Conventional,,,,,16531340.16
2014,CA,Total Electric Power Industry,Nuclear,,,,,16985978.0
2014,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,9931814.86
2014,CA,Total Electric Power Industry,Wind,,,,,12992497.58
2014,CO,Total Electric Power Industry,Pumped Storage,,,,,-225264.0
2014,CO,Total Electric Power Industry,Hydroelectric Conventional,,,,,1769800.92
2014,CO,Total Electric Power Industry,Other,,,,,46874.0
2014,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,253065.0
2014,CO,Total Electric Power Industry,Wind,,,,,7368614.0
2014,CT,Total Electric Power Industry,Pumped Storage,,,,,6782.0
2014,CT,Total Electric Power Industry,Hydroelectric Conventional,,,,,433960.19
2014,CT,Total Electric Power Industry,Nuclear,,,,,15840619.0
2014,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,11706.23
2014,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,49530.0
2014,DE,Total Electric Power Industry,Wind,,,,,5051.0
2014,FL,Total Electric Power Industry,Hydroelectric Conventional,,,,,211388.0
2014,FL,Total Electric Power Industry,Nuclear,,,,,27868270.0
2014,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,241684.18
2014,GA,Total Electric Power Industry,Pumped Storage,,,,,-780633.0
2014,GA,Total Electric Power Industry,Hydroelectric Conventional,,,,,3064347.0
2014,GA,Total Electric Power Industry,Nuclear,,,,,32570182.0
2014,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,119226.66
2014,HI,Total Electric Power Industry,Hydroelectric Conventional,,,,,94083.09
2014,HI,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,39261.75
2014,HI,Total Electric Power Industry,Wind,,,,,578617.0
2014,IA,Total Electric Power Industry,Hydroelectric Conventional,,,,,878605.0
2014,IA,Total Electric Power Industry,Nuclear,,,,,4152468.0
2014,IA,Total Electric Power Industry,Other,,,,,0.0
2014,IA,Total Electric Power Industry,Wind,,,,,16306754.53
2014,ID,Total Electric Power Industry,Hydroelectric Conventional,,,,,9002210.17
2014,ID,Total Electric Power Industry,Wind,,,,,2805800.0
2014,IL,Total Electric Power Industry,Hydroelectric Conventional,,,,,132298.0
2014,IL,Total Electric Power Industry,Nuclear,,,,,97857900.0
2014,IL,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,50116.9
2014,IL,Total Electric Power Industry,Wind,,,,,10082894.0
2014,IL,Total Electric Power Industry,Wood and Wood Derived Fuels,,,,,0.0
2014,IN,Total Electric Power Industry,Hydroelectric Conventional,,,,,371153.0
2014,IN,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,102126.9
2014,IN,Total Electric Power Industry,Wind,,,,,3496041.69
2014,IN,Total Electric Power Industry,Wood and Wood Derived Fuels,,,,,0.0
2014,KS,Total Electric Power Industry,Hydroelectric Conventional,,,,,16214.0
2014,KS,Total Electric Power Industry,Nuclear,,,,,8558384.0
2014,KS,Total Electric Power Industry,Other,,,,,0.97
2014,KS,Total Electric Power Industry,Wind,,,,,10844861.0
2014,KY,Total Electric Power Industry,Hydroelectric Conventional,,,,,3143567.0
2014,LA,Total Electric Power Industry,Hydroelectric Conventional,,,,,1090038.0
2014,LA,Total Electric Power Industry,Nuclear,,,,,17311330.0
2014,MA,Total Electric Power Industry,Pumped Storage,,,,,-458158.0
2014,MA,Total Electric Power Industry,Hydroelectric Conventional,,,,,902077.07
2014,MA,Total Electric Power Industry,Nuclear,,,,,5769154.0
2014,MA,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,306321.39
2014,MA,Total Electric Power Industry,Wind,,,,,224971.05
2014,MD,Total Electric Power Industry,Hydroelectric Conventional,,,,,1615523.0
2014,MD,Total Electric Power Industry,Nuclear,,,,,14343334.0
2014,MD,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,98117.72
2014,MD,Total Electric Power Industry,Wind,,,,,323612.34
2014,ME,Total Electric Power Industry,Hydroelectric Conventional,,,,,3623248.5
2014,ME,Total Electric Power Industry,Wind,,,,,1097329.0
2014,MI,Total Electric Power Industry,Pumped Storage,,,,,-700889.0
2014,MI,Total Electric Power Industry,Hydroelectric Conventional,,,,,1600022.0
2014,MI,Total Electric Power Industry,Nuclear,,,,,31245848.0
2014,MI,Total Electric Power Industry,Wind,,,,,3868117.67
2014,MN,Total Electric Power Industry,Hydroelectric Conventional,,,,,548488.18
2014,MN,Total Electric Power Industry,Nuclear,,,,,12707166.0
2014,MN,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,2653.0
2014,MN,Total Electric Power Industry,Wind,,,,,9691019.11
2014,MO,Total Electric Power Industry,Pumped Storage,,,,,18853.0
2014,MO,Total Electric Power Industry,Hydroelectric Conventional,,,,,697336.0
2014,MO,Total Electric Power Industry,Nuclear,,,,,9276356.0
2014,MO,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,8707.0
2014,MO,Total Electric Power Industry,Wind,,,,,1131105.0
2014,MS,Total Electric Power Industry,Nuclear,,,,,10252183.0
2014,MT,Total Electric Power Industry,Hydroelectric Conventional,,,,,11482751.0
2014,MT,Total Electric Power Industry,Other,,,,,264814.0
2014,MT,Total Electric Power Industry,Wind,,,,,1973794.08
2014,NC,Total Electric Power Industry,Pumped Storage,,,,,78009.0
2014,NC,Total Electric Power Industry,Hydroelectric Conventional,,,,,4756083.24
2014,NC,Total Electric Power Industry,Nuclear,,,,,40967020.0
2014,NC,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,729130.48
2014,ND,Total Electric Power Industry,Hydroelectric Conventional,,,,,2531360.0
2014,ND,Total Electric Power Industry,Other,,,,,31440.0
2014,ND,Total Electric Power Industry,Wind,,,,,6202412.0
2014,NE,Total Electric Power Industry,Hydroelectric Conventional,,,,,1157781.0
2014,NE,Total Electric Power Industry,Nuclear,,,,,10101838.0
2014,NE,Total Electric Power Industry,Other,,,,,0.0
2014,NE,Total Electric Power Industry,Wind,,,,,2736939.22
2014,NE,Total Electric Power Industry,Wood and Wood Derived Fuels,,,,,0.0
2014,NH,Total Electric Power Industry,Hydroelectric Conventional,,,,,1381362.0
2014,NH,Total Electric Power Industry,Nuclear,,,,,10168265.0
2014,NH,Total Electric Power Industry,Wind,,,,,411581.0
2014,NJ,Total Electric Power Industry,Pumped Storage,,,,,-236904.0
2014,NJ,Total Electric Power Industry,Hydroelectric Conventional,,,,,17296.0
2014,NJ,Total Electric Power Industry,Nuclear,,,,,31507121.0
2014,NJ,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,514252.4
2014,NJ,Total Electric Power Industry,Wind,,,,,22855.0
2014,NM,Total Electric Power Industry,Hydroelectric Conventional,,,,,98381.0
2014,NM,Total Electric Power Industry,Other,,,,,665.0
2014,NM,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,515054.21
2014,NM,Total Electric Power Industry,Wind,,,,,2274750.0
2014,NV,Total Electric Power Industry,Hydroelectric Conventional,,,,,2389000.0
2014,NV,Total Electric Power Industry,Other,,,,,14965.0
2014,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,1013682.0
2014,NV,Total Electric Power Industry,Wind,,,,,300134.0
2014,NV,Total Electric Power Industry,Wood and Wood Derived Fuels,,,,,0.0
2014,NY,Total Electric Power Industry,Pumped Storage,,,,,-491330.0
2014,NY,Total Electric Power Industry,Hydroelectric Conventional,,,,,26086902.24
2014,NY,Total Electric Power Industry,Nuclear,,,,,43038624.0
2014,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,70615.64
2014,NY,Total Electric Power Industry,Wind,,,,,3968407.15
2014,OH,Total Electric Power Industry,Hydroelectric Conventional,,,,,478007.22
2014,OH,Total Electric Power Industry,Nuclear,,,,,16284440.0
2014,OH,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,53908.27
2014,OH,Total Electric Power Industry,Wind,,,,,1153418.0
2014,OK,Total Electric Power Industry,Pumped Storage,,,,,-105798.0
2014,OK,Total Electric Power Industry,Hydroelectric Conventional,,,,,1428473.0
2014,OK,Total Electric Power Industry,Wind,,,,,11936833.04
2014,OR,Total Electric Power Industry,Hydroelectric Conventional,,,,,35261936.0
2014,OR,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,24042.05
2014,OR,Total Electric Power Industry,Wind,,,,,7555402.0
2014,PA,Total Electric Power Industry,Pumped Storage,,,,,-578653.0
2014,PA,Total Electric Power Industry,Hydroelectric Conventional,,,,,2641157.0
2014,PA,Total Electric Power Industry,Nuclear,,,,,78714659.0
2014,PA,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,62392.42
2014,PA,Total Electric Power Industry,Wind,,,,,3564730.0
2014,RI,Total Electric Power Industry,Hydroelectric Conventional,,,,,3963.96
2014,RI,Total Electric Power Industry,Solar Thermal and Photovoltaic,,,,,9803.0
